epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,122.341,0.95686,1.64722,1.14317,0.60101,0.86667,0.8881,0.62735,1.6595,1.1084,1.36245,1.43509e-05,1.43509e-05,1.43509e-05
16,127.012,1.22164,2.47908,1.62534,0.77697,0.65,0.87861,0.62307,1.67211,1.12961,1.37259,1.51993e-05,1.51993e-05,1.51993e-05
17,131.984,0.82353,1.82871,1.18148,0.76847,0.65,0.87331,0.62663,1.67174,1.13844,1.37503,1.60241e-05,1.60241e-05,1.60241e-05
18,137.567,1.14751,1.57243,1.36034,0.76847,0.65,0.87331,0.62663,1.67174,1.13844,1.37503,1.68253e-05,1.68253e-05,1.68253e-05
19,144.102,0.97434,1.94082,1.13788,0.76287,0.65,0.86221,0.61559,1.68202,1.17913,1.38597,1.7603e-05,1.7603e-05,1.7603e-05
20,148.634,0.86194,1.50539,1.18934,0.76287,0.65,0.86221,0.61559,1.68202,1.17913,1.38597,1.83571e-05,1.83571e-05,1.83571e-05
21,154.075,1.26887,2.58423,1.68092,0.75782,0.65,0.85518,0.61429,1.70137,1.21373,1.39782,1.90876e-05,1.90876e-05,1.90876e-05
22,158.865,1.07299,2.35934,1.50543,0.75782,0.65,0.85518,0.61429,1.70137,1.21373,1.39782,1.97946e-05,1.97946e-05,1.97946e-05
23,164.31,1.04404,1.88867,1.47019,0.7334,0.65,0.85526,0.6193,1.69403,1.23126,1.39024,2.0478e-05,2.0478e-05,2.0478e-05
24,169.754,1.05927,2.20527,1.49049,0.7334,0.65,0.85526,0.6193,1.69403,1.23126,1.39024,2.11379e-05,2.11379e-05,2.11379e-05
25,174.589,0.85469,1.48188,1.22197,0.70576,0.67229,0.85556,0.61089,1.71255,1.28386,1.40329,2.17741e-05,2.17741e-05,2.17741e-05
26,178.827,1.13039,1.84474,1.44798,0.70576,0.67229,0.85556,0.61089,1.71255,1.28386,1.40329,2.23869e-05,2.23869e-05,2.23869e-05
27,183.094,0.90988,1.74951,1.40025,0.69306,0.67682,0.85599,0.61129,1.71861,1.32013,1.40507,2.2976e-05,2.2976e-05,2.2976e-05
28,187.448,0.814,1.26363,1.15619,0.69306,0.67682,0.85599,0.61129,1.71861,1.32013,1.40507,2.35417e-05,2.35417e-05,2.35417e-05
29,191.848,0.99515,1.51675,1.27472,0.68719,0.67854,0.85533,0.60864,1.70095,1.32333,1.39358,2.40837e-05,2.40837e-05,2.40837e-05
30,196.42,1.28809,2.33646,1.62375,0.68719,0.67854,0.85533,0.60864,1.70095,1.32333,1.39358,2.46022e-05,2.46022e-05,2.46022e-05
31,201.249,1.01177,1.44092,1.32514,0.67257,0.66667,0.85353,0.6107,1.71736,1.36025,1.4059,2.50971e-05,2.50971e-05,2.50971e-05
32,205.959,0.85974,1.31555,1.235,0.67257,0.66667,0.85353,0.6107,1.71736,1.36025,1.4059,2.55685e-05,2.55685e-05,2.55685e-05
33,210.432,0.85509,1.30839,1.40201,0.65286,0.7,0.76953,0.53395,1.71053,1.39725,1.40586,2.60163e-05,2.60163e-05,2.60163e-05
34,214.603,1.02766,1.24956,1.2916,0.65286,0.7,0.76953,0.53395,1.71053,1.39725,1.40586,2.64405e-05,2.64405e-05,2.64405e-05
35,219.006,0.89787,2.18024,1.31171,0.66,0.7,0.76991,0.5187,1.70462,1.42417,1.40083,2.68412e-05,2.68412e-05,2.68412e-05
36,223.722,0.90082,1.54588,1.17567,0.66,0.7,0.76991,0.5187,1.70462,1.42417,1.40083,2.72183e-05,2.72183e-05,2.72183e-05
37,228.805,0.76554,1.05533,1.15324,0.666,0.7,0.76976,0.5104,1.69011,1.44642,1.39894,2.75718e-05,2.75718e-05,2.75718e-05
38,233.345,0.48283,0.72749,0.98084,0.666,0.7,0.76976,0.5104,1.69011,1.44642,1.39894,2.79018e-05,2.79018e-05,2.79018e-05
39,238.074,0.62383,0.90941,1.00522,0.67367,0.69419,0.76946,0.50368,1.66012,1.47891,1.38563,2.82082e-05,2.82082e-05,2.82082e-05
40,242.853,0.80075,0.82439,1.16413,0.67367,0.69419,0.76946,0.50368,1.66012,1.47891,1.38563,2.84911e-05,2.84911e-05,2.84911e-05
41,247.832,0.7299,0.90219,1.04903,0.6719,0.66428,0.74235,0.47928,1.6271,1.50081,1.36967,2.87504e-05,2.87504e-05,2.87504e-05
42,252.245,0.88764,1.91064,1.27043,0.6719,0.66428,0.74235,0.47928,1.6271,1.50081,1.36967,2.89861e-05,2.89861e-05,2.89861e-05
43,257.344,0.83803,1.25155,1.22848,0.66982,0.65,0.72537,0.45138,1.6603,1.5676,1.39392,2.91983e-05,2.91983e-05,2.91983e-05
44,262.038,1.05133,0.97119,1.43457,0.66982,0.65,0.72537,0.45138,1.6603,1.5676,1.39392,2.93869e-05,2.93869e-05,2.93869e-05
45,267.675,0.63154,0.92245,0.99883,0.68418,0.65,0.70408,0.43634,1.65674,1.57745,1.39615,2.9552e-05,2.9552e-05,2.9552e-05
46,275.444,0.80438,1.01007,1.2231,0.68418,0.65,0.70408,0.43634,1.65674,1.57745,1.39615,2.96935e-05,2.96935e-05,2.96935e-05
47,283.832,0.81263,1.44378,1.31238,0.70986,0.65,0.69898,0.43182,1.65738,1.62545,1.40131,2.98114e-05,2.98114e-05,2.98114e-05
48,289.442,0.85688,1.619,1.20505,0.70986,0.65,0.69898,0.43182,1.65738,1.62545,1.40131,2.99058e-05,2.99058e-05,2.99058e-05
49,295.007,0.66572,0.70023,1.25167,0.74805,0.65,0.69701,0.4298,1.66702,1.64176,1.40601,2.99766e-05,2.99766e-05,2.99766e-05
50,305.605,0.78214,0.78859,1.28679,0.74805,0.65,0.69701,0.4298,1.66702,1.64176,1.40601,3.00238e-05,3.00238e-05,3.00238e-05
51,315.02,0.82635,0.86369,1.1239,0.75834,0.65,0.69301,0.42659,1.63956,1.657,1.39816,3.00475e-05,3.00475e-05,3.00475e-05
52,321.991,0.93403,0.96068,1.31317,0.75834,0.65,0.69301,0.42659,1.63956,1.657,1.39816,3.00476e-05,3.00476e-05,3.00476e-05
53,329.239,0.65106,0.7096,1.18006,0.75834,0.65,0.69301,0.42659,1.63956,1.657,1.39816,3.00242e-05,3.00242e-05,3.00242e-05
54,336.485,0.82665,0.94946,1.26935,0.72236,0.65,0.68047,0.41486,1.6361,1.72523,1.40614,2.99772e-05,2.99772e-05,2.99772e-05
55,342.814,0.78642,0.92522,1.1196,0.72236,0.65,0.68047,0.41486,1.6361,1.72523,1.40614,2.99066e-05,2.99066e-05,2.99066e-05
56,348.889,1.15889,1.42034,1.63173,0.72236,0.65,0.68047,0.41486,1.6361,1.72523,1.40614,2.98125e-05,2.98125e-05,2.98125e-05
57,355.904,0.92562,1.52144,1.36614,0.70716,0.67942,0.68239,0.3989,1.65577,1.74911,1.42042,2.96948e-05,2.96948e-05,2.96948e-05
58,363.995,0.85832,1.49165,1.2719,0.70716,0.67942,0.68239,0.3989,1.65577,1.74911,1.42042,2.95535e-05,2.95535e-05,2.95535e-05
59,370.101,0.78581,0.81827,1.15816,0.70716,0.67942,0.68239,0.3989,1.65577,1.74911,1.42042,2.93887e-05,2.93887e-05,2.93887e-05
60,376.042,0.93418,0.83008,1.51748,0.73983,0.51667,0.68456,0.40069,1.68001,1.77719,1.44219,2.92003e-05,2.92003e-05,2.92003e-05
61,380.622,0.6468,0.68599,1.06303,0.73983,0.51667,0.68456,0.40069,1.68001,1.77719,1.44219,2.89884e-05,2.89884e-05,2.89884e-05
62,385.529,0.71017,0.90634,1.0525,0.73983,0.51667,0.68456,0.40069,1.68001,1.77719,1.44219,2.87529e-05,2.87529e-05,2.87529e-05
63,390.655,0.79219,0.85851,1.16714,0.82324,0.48586,0.68299,0.40131,1.66038,1.82792,1.44429,2.84938e-05,2.84938e-05,2.84938e-05
64,395.311,0.62459,0.64123,1.06688,0.82324,0.48586,0.68299,0.40131,1.66038,1.82792,1.44429,2.82112e-05,2.82112e-05,2.82112e-05
65,400.069,0.69059,0.69956,1.23916,0.82324,0.48586,0.68299,0.40131,1.66038,1.82792,1.44429,2.7905e-05,2.7905e-05,2.7905e-05
66,405.217,0.69657,0.95957,1.09117,0.81633,0.4862,0.60047,0.3329,1.68816,1.88675,1.4486,2.75753e-05,2.75753e-05,2.75753e-05
67,409.816,0.73434,1.1382,1.10329,0.81633,0.4862,0.60047,0.3329,1.68816,1.88675,1.4486,2.7222e-05,2.7222e-05,2.7222e-05
68,414.206,1.02065,1.74283,1.37655,0.81633,0.4862,0.60047,0.3329,1.68816,1.88675,1.4486,2.68451e-05,2.68451e-05,2.68451e-05
69,419.201,0.61231,1.11322,1.10452,0.83464,0.48373,0.55655,0.29771,1.70456,1.94645,1.44039,2.64447e-05,2.64447e-05,2.64447e-05
70,423.924,1.04592,0.88651,1.48394,0.83464,0.48373,0.55655,0.29771,1.70456,1.94645,1.44039,2.60207e-05,2.60207e-05,2.60207e-05
71,428.892,0.95002,1.26564,1.32579,0.83464,0.48373,0.55655,0.29771,1.70456,1.94645,1.44039,2.55731e-05,2.55731e-05,2.55731e-05
72,434.555,0.60561,0.64405,1.09306,0.83232,0.47631,0.55703,0.29433,1.78153,1.99119,1.473,2.5102e-05,2.5102e-05,2.5102e-05
73,439.432,0.69006,0.93422,1.05029,0.83232,0.47631,0.55703,0.29433,1.78153,1.99119,1.473,2.46073e-05,2.46073e-05,2.46073e-05
74,444.393,0.7958,0.63535,1.24701,0.83232,0.47631,0.55703,0.29433,1.78153,1.99119,1.473,2.40891e-05,2.40891e-05,2.40891e-05
75,452.044,0.71106,0.54772,1.13226,0.82642,0.47036,0.57222,0.2859,1.83626,1.98972,1.49191,2.35472e-05,2.35472e-05,2.35472e-05
76,464.218,0.63437,0.74104,1.1261,0.82642,0.47036,0.57222,0.2859,1.83626,1.98972,1.49191,2.29819e-05,2.29819e-05,2.29819e-05
77,470.02,0.69624,0.65285,1.12676,0.82642,0.47036,0.57222,0.2859,1.83626,1.98972,1.49191,2.23929e-05,2.23929e-05,2.23929e-05
78,475.527,0.88155,1.01982,1.20172,0.841,0.46667,0.59897,0.29113,1.82285,2.0189,1.49129,2.17805e-05,2.17805e-05,2.17805e-05
79,480.592,0.58748,0.82444,1.09342,0.841,0.46667,0.59897,0.29113,1.82285,2.0189,1.49129,2.11444e-05,2.11444e-05,2.11444e-05
80,485.834,0.76175,0.74274,1.22164,0.841,0.46667,0.59897,0.29113,1.82285,2.0189,1.49129,2.04848e-05,2.04848e-05,2.04848e-05
81,491.051,0.52886,0.51565,0.98473,0.82609,0.4684,0.57336,0.28797,1.86199,2.04471,1.53695,1.98016e-05,1.98016e-05,1.98016e-05
82,496.142,0.804,0.67701,1.14069,0.82609,0.4684,0.57336,0.28797,1.86199,2.04471,1.53695,1.90949e-05,1.90949e-05,1.90949e-05
83,500.931,0.82397,0.87238,1.2391,0.82609,0.4684,0.57336,0.28797,1.86199,2.04471,1.53695,1.83646e-05,1.83646e-05,1.83646e-05
84,506.571,0.78672,0.56655,1.20658,0.82857,0.4821,0.60052,0.3006,1.85793,2.075,1.53707,1.76107e-05,1.76107e-05,1.76107e-05
85,512.796,0.58659,0.74955,1.12026,0.82857,0.4821,0.60052,0.3006,1.85793,2.075,1.53707,1.68333e-05,1.68333e-05,1.68333e-05
86,518.21,0.76759,0.66151,1.11743,0.82857,0.4821,0.60052,0.3006,1.85793,2.075,1.53707,1.60323e-05,1.60323e-05,1.60323e-05
87,522.755,0.76436,0.80331,1.06808,0.82857,0.4821,0.60052,0.3006,1.85793,2.075,1.53707,1.52077e-05,1.52077e-05,1.52077e-05
88,527.152,0.82831,0.86772,1.40978,0.83881,0.47796,0.52445,0.27731,1.86431,2.08827,1.5221,1.43596e-05,1.43596e-05,1.43596e-05
89,531.569,0.97086,0.96433,1.46151,0.83881,0.47796,0.52445,0.27731,1.86431,2.08827,1.5221,1.34879e-05,1.34879e-05,1.34879e-05
90,536.34,0.6421,0.62525,0.99905,0.83881,0.47796,0.52445,0.27731,1.86431,2.08827,1.5221,1.25927e-05,1.25927e-05,1.25927e-05
91,541.132,0.47072,0.51748,0.89473,0.83881,0.47796,0.52445,0.27731,1.86431,2.08827,1.5221,1.16739e-05,1.16739e-05,1.16739e-05
92,545.614,0.69956,0.6792,0.97919,0.81551,0.48631,0.53887,0.282,1.8565,2.01863,1.50306,1.07315e-05,1.07315e-05,1.07315e-05
93,549.752,0.48386,0.46421,0.99534,0.81551,0.48631,0.53887,0.282,1.8565,2.01863,1.50306,9.76562e-06,9.76562e-06,9.76562e-06
94,554.419,0.55122,0.47444,0.88747,0.81551,0.48631,0.53887,0.282,1.8565,2.01863,1.50306,8.77613e-06,8.77613e-06,8.77613e-06
95,559.659,0.43805,0.45991,0.9052,0.81551,0.48631,0.53887,0.282,1.8565,2.01863,1.50306,7.76308e-06,7.76308e-06,7.76308e-06
96,564.689,0.46211,0.5112,0.97426,0.83994,0.46667,0.54324,0.31117,1.86808,2.01446,1.4983,6.72648e-06,6.72648e-06,6.72648e-06
97,569.028,0.70768,0.63541,1.06895,0.83994,0.46667,0.54324,0.31117,1.86808,2.01446,1.4983,5.6663e-06,5.6663e-06,5.6663e-06
98,573.707,0.52313,0.48762,0.91352,0.83994,0.46667,0.54324,0.31117,1.86808,2.01446,1.4983,4.58257e-06,4.58257e-06,4.58257e-06
99,578.718,0.48159,0.46931,0.91089,0.83994,0.46667,0.54324,0.31117,1.86808,2.01446,1.4983,3.47528e-06,3.47528e-06,3.47528e-06
100,584.088,0.55978,0.51594,1.0237,0.83158,0.46667,0.57753,0.35509,1.80163,1.84675,1.4712,2.34442e-06,2.34442e-06,2.34442e-06
